hum
88
85
88
89
63
38
36
36
46
40
30
25
30
29
36
39
40
39
41
43
54
64
66
63
63
68
72
74
78
72
68
74
79
81
61
51
42
34
30
34
38
45
55
68
77
81
85
87
89
90
92
93
92
91
91
93
88
84
79
57
42
35
34
40
44
50
59
67
76
85
86
87
90
90
90
90
85
87
86
86
83
82
82
85
82
80
78
70
65
67
69
75
78
87
91
92
94
94
93
93
92
86
77
74
73
72
66
64
59
57
54
54
57
68
78
83
82
81
68
66
66
66
66
70
68
64
66
66
72
64
60
59
62
65
73
73
71
77
83
84
79
79
85
87
90
92
51
54
58
61
45
44
43
41
37
34
30
29
25
25
26
27
29
29
31
32
35
38
36
38
37
36
36
38
39
39
38
37
32
28
27
26
27
32
32
35
42
47
51
54
59
49
39
28
28
28
29
36
29
28
27
25
22
19
18
15
14
14
15
19
24
38
54
59
60
59
66
67
70
70
72
75
73
60
69
53
39
34
28
22
17
20
24
30
40
49
39
41
27
27
28
27
29
29
35
33
29
29
39
27
24
24
24
24
24
26
28
31
36
45
31
23
23
23
21
23
29
29
33
31
28
28
29
28
24
20
17
16
14
13
12
14
15
15
15
20
20
21
25
25
35
37
55
52
35
45
42
25
21
17
16
14
11
11
10
15
15
19
25
30
30
61
61
65
68
69
63
62
62
60
64
66
64
63
58
56
53
54
54
65
66
66
68
66
64
62
62
62
63
63
62
62
65
64
64
64
72
74
72
69
65
63
67
70
68
69
70
70
69
69
52
52
52
52
71
71
71
70
71
71
69
54
51
46
43
41
45
50
52
58
62
63
62
52
39
44
50
60
62
54
51
52
47
40
34
31
29
25
26
28
33
35
35
33
40
45
40
37
51
46
47
44
46
46
53
69
73
51
29
24
21
20
18
16
16
18
18
20
20
22
23
24
26
26
29
28
29
29
31
36
41
33
27
22
20
18
16
16
16
20
22
22
22
22
26
38
46
44
39
45
45
37
24
24
24
21
18
16
15
14
13
13
14
15
17
20
22
23
30
44
49
41
41
30
37
37
34
37
38
30
26
22
22
21
18
19
19
21
29
32
28
29
34
37
28
30
37
42
44
41
42
40
40
38
32
26
25
22
19
19
20
22
26
31
39
39
39
40
43
53
59
55
55
48
53
53
53
51
51
30
28
25
23
24
27
29
37
43
43
43
42
46
57
48
47
48
54
56
60
57
60
53
46
38
34
32
30
30
32
38
53
59
65
69
74
76
61
61
61
58
62
65
64
64
61
60
59
53
48
35
25
17
17
18
21
23
23
25
26
26
33
33
29
33
33
35
35
54
60
32
28
25
24
22
20
20
20
22
24
26
26
26
37
42
47
44
43
41
37
39
39
41
40
39
39
37
38
35
32
35
36
40
49
58
69
73
73
56
57
48
24
24
25
14
15
21
23
22
22
20
20
19
18
18
19
20
21
21
20
20
18
17
20
21
21
24
23
26
25
28
29
23
18
15
14
13
11
9
8
9
11
11
11
12
13
13
14
16
18
20
23
24
29
29
31
35
35
14
12
12
11
11
12
12
17
24
29
29
18
18
43
20
19
19
19
20
21
27
30
23
17
14
13
9
9
10
11
14
18
20
27
42
39
43
54
54
62
62
73
74
49
57
61
41
25
21
15
14
12
14
13
19
23
26
29
39
40
54
52
52
35
34
37
51
44
59
59
61
28
23
19
18
16
17
20
25
32
43
49
49
57
59
39
35
37
37
38
42
44
51
60
60
40
32
29
27
25
27
28
31
42
37
34
30
30
34
39
52
59
64
56
56
40
42
46
24
20
15
14
13
12
12
13
14
15
16
19
24
32
31
28
28
32
31
33
33
34
35
33
27
27
16
15
13
12
12
15
17
22
23
24
25
35
38
40
44
45
42
47
48
50
50
52
47
52
55
41
37
42
53
52
55
58
60
63
67
72
77
76
77
79
76
75
49
38
33
33
31
26
23
21
18
16
15
15
18
19
20
22
24
23
23
22
26
26
25
25
26
26
25
25
23
18
16
15
14
13
12
12
14
16
18
18
20
23
22
23
21
21
20
20
21
21
20
21
19
16
14
14
12
11
11
10
11
12
15
16
16
22
22
34
35
47
49
62
55
57
57
62
62
21
18
16
13
12
12
12
13
16
22
27
35
35
32
34
37
49
47
41
43
44
42
41
33
27
21
20
18
18
16
15
16
20
25
30
36
37
35
39
47
46
56
51
46
51
53
55
38
25
18
16
14
12
11
11
12
18
18
27
27
34
43
39
47
46
56
51
46
51
53
55
38
25
18
16
14
12
11
11
12
18
18
27
27
34
43
54
72
76
79
76
76
77
79
79
79
58
51
43
40
39
35
36
38
48
48
53
57
53
54
56
54
58
58
57
58
55
55
54
39
31
31
29
26
20
17
17
20
20
20
19
19
19
20
56
54
58
58
57
58
55
55
54
39
31
31
29
26
20
17
17
20
20
20
19
19
19
20
42
49
48
48
39
40
42
42
43
35
27
25
20
18
17
18
20
22
26
31
37
36
33
36
43
49
50
49
53
53
61
61
57
50
39
36
32
27
18
13
13
12
13
14
13
16
17
18
19
20
21
20
21
22
21
23
22
21
21
16
15
13
12
12
11
11
15
24
36
37
18
26
35
32
36
35
35
40
35
42
34
30
30
30
30
30
83
73
66
70
75
84
89
90
90
86
86
85
86
85
85
86
88
90
94
94
77
73
71
66
63
58
49
27
27
30
31
33
34
37
39
40
44
53
47
52
57
54
51
36
29
25
23
23
16
22
21
15
21
29
33
34
46
53
52
49
63
55
66
68
74
78
64
32
32
21
20
19
17
17
15
18
21
22
22
35
37
33
39
54
50
49
49
49
49
49
47
30
22
21
18
17
17
18
18
18
21
23
23
29
40
40
41
43
49
46
51
52
52
67
55
38
33
28
25
23
22
22
22
23
25
26
33
32
40
53
41
43
49
46
51
52
52
67
55
38
33
28
25
23
22
22
22
23
25
26
33
32
40
53
27
25
30
33
33
25
29
31
25
19
15
14
14
12
11
11
11
11
14
14
21
19
19
19
27
25
30
33
33
25
29
31
25
19
15
14
14
12
11
11
11
11
14
14
21
19
19
19
27
25
30
33
33
25
29
31
25
19
15
14
14
12
11
11
11
11
14
14
21
19
19
19
54
53
39
41
47
57
49
49
40
29
25
23
22
19
17
19
22
27
36
39
43
43
34
39
31
34
45
45
55
51
53
58
45
38
27
25
22
21
21
21
20
23
30
43
48
57
43
43
41
41
33
29
31
31
32
31
30
27
25
20
17
15
16
15
13
15
15
15
23
26
39
30
43
52
51
46
29
39
36
37
37
30
23
21
19
19
19
34
27
18
19
19
22
26
24
24
27
26
24
24
26
27
