aqi,co,no2,o3,pm10,pm25,so2
272.0,4.2,148.0,2.0,223.0,222.0,20.0
270.0,4.1,148.0,2.0,223.0,220.0,18.0
265.0,3.9,141.0,2.0,216.0,215.0,19.0
263.0,3.7,132.0,2.0,216.0,213.0,23.0
272.0,3.6,122.0,2.0,216.0,222.0,21.0
257.0,0.4,128.0,2.0,216.0,207.0,22.0
273.0,4.6,140.0,2.0,216.0,223.0,29.0
277.0,4.5,139.0,2.0,116.0,227.0,31.0
279.0,4.2,134.0,2.0,116.0,229.0,31.0
276.0,0.4,127.0,2.0,116.0,226.0,31.0
268.0,3.6,116.0,2.0,116.0,218.0,31.0
264.0,3.8,111.0,2.0,116.0,214.0,28.0
256.0,3.5,98.0,2.0,116.0,206.0,23.0
246.0,3.3,92.0,2.0,116.0,196.0,23.0
241.0,0.3,85.0,2.0,116.0,191.0,22.0
238.0,0.3,85.0,2.0,116.0,188.0,20.0
233.0,3.3,87.0,2.0,116.0,183.0,21.0
231.0,0.3,86.0,2.0,116.0,181.0,22.0
203.0,2.8,79.0,2.0,116.0,153.0,22.0
213.0,2.4,69.0,7.0,116.0,163.0,19.0
217.0,2.2,65.0,14.0,116.0,167.0,19.0
161.0,1.8,60.0,15.0,116.0,123.0,14.0
151.0,1.7,58.0,11.0,116.0,116.0,11.0
131.0,1.6,53.0,24.0,116.0,100.0,11.0
141.0,1.6,57.0,24.0,116.0,108.0,11.0
151.0,1.9,74.0,6.0,116.0,116.0,9.0
145.0,1.8,65.0,13.0,116.0,111.0,7.0
145.0,1.9,77.0,2.0,116.0,111.0,8.0
141.0,1.9,78.0,2.0,116.0,108.0,10.0
139.0,1.9,80.0,2.0,116.0,106.0,14.0
205.0,3.6,96.0,2.0,116.0,155.0,12.0
236.0,4.6,98.0,2.0,6.0,186.0,14.0
95.0,2.2,74.0,2.0,6.0,71.0,21.0
79.0,0.1,48.0,16.0,6.0,58.0,15.0
37.0,0.4,25.0,44.0,6.0,26.0,10.0
24.0,0.4,26.0,45.0,6.0,17.0,8.0
31.0,0.3,22.0,52.0,6.0,22.0,7.0
31.0,0.3,24.0,53.0,6.0,22.0,6.0
26.0,0.3,28.0,48.0,6.0,18.0,7.0
26.0,0.3,41.0,32.0,6.0,18.0,9.0
40.0,0.4,43.0,33.0,6.0,28.0,10.0
27.0,0.5,42.0,38.0,6.0,19.0,12.0
47.0,0.5,35.0,51.0,6.0,33.0,11.0
44.0,0.4,30.0,63.0,6.0,31.0,9.0
30.0,0.3,26.0,72.0,6.0,21.0,7.0
23.0,0.3,28.0,75.0,6.0,8.0,7.0
50.0,0.5,39.0,66.0,6.0,35.0,8.0
23.0,0.5,36.0,73.0,6.0,3.0,7.0
23.0,0.5,46.0,58.0,6.0,12.0,6.0
26.0,0.3,40.0,62.0,6.0,18.0,6.0
33.0,0.4,42.0,56.0,6.0,23.0,6.0
20.0,0.3,39.0,57.0,6.0,14.0,5.0
24.0,0.3,41.0,54.0,6.0,17.0,7.0
19.0,0.3,38.0,56.0,6.0,8.0,6.0
24.0,0.3,41.0,47.0,6.0,17.0,8.0
20.0,0.3,38.0,46.0,20.0,14.0,6.0
21.0,0.3,41.0,37.0,20.0,12.0,6.0
19.0,0.2,35.0,44.0,20.0,13.0,5.0
19.0,0.1,24.0,61.0,20.0,8.0,5.0
23.0,0.1,14.0,74.0,20.0,11.0,3.0
23.0,0.1,14.0,74.0,20.0,9.0,3.0
21.0,0.1,19.0,67.0,20.0,7.0,3.0
16.0,0.2,30.0,51.0,20.0,9.0,3.0
21.0,0.3,41.0,36.0,20.0,9.0,4.0
20.0,0.4,40.0,35.0,20.0,12.0,5.0
16.0,0.4,31.0,49.0,20.0,8.0,5.0
20.0,0.3,28.0,58.0,20.0,14.0,5.0
19.0,0.3,32.0,60.0,20.0,9.0,4.0
26.0,0.3,37.0,59.0,20.0,18.0,4.0
21.0,0.3,40.0,60.0,20.0,15.0,6.0
19.0,0.5,37.0,60.0,20.0,15.0,8.0
29.0,0.9,37.0,60.0,29.0,15.0,11.0
204.0,1.1,55.0,415.0,29.0,15.0,9.0
65.0,1.1,37.0,415.0,63.0,47.0,8.0
101.0,1.3,2.0,415.0,97.0,76.0,6.0
139.0,1.6,72.0,415.0,158.0,106.0,8.0
173.0,1.6,75.0,415.0,159.0,131.0,8.0
189.0,1.6,84.0,415.0,167.0,142.0,8.0
135.0,1.6,70.0,415.0,167.0,103.0,8.0
42.0,0.1,16.0,-999.0,42.0,20.0,2.0
8.0,0.1,16.0,-999.0,42.0,4.0,2.0
33.0,0.1,20.0,-999.0,33.0,7.0,2.0
14.0,0.1,28.0,-999.0,12.0,8.0,2.0
16.0,0.1,31.0,-999.0,9.0,6.0,2.0
19.0,0.1,37.0,-999.0,9.0,6.0,2.0
16.0,0.1,31.0,-999.0,9.0,5.0,2.0
18.0,0.1,36.0,-999.0,9.0,6.0,2.0
27.0,0.1,53.0,-999.0,9.0,8.0,2.0
19.0,0.1,38.0,-999.0,9.0,5.0,2.0
14.0,0.1,23.0,-999.0,13.0,10.0,2.0
25.0,0.1,18.0,-999.0,25.0,12.0,2.0
14.0,0.1,17.0,-999.0,25.0,10.0,2.0
11.0,0.1,18.0,-999.0,11.0,6.0,2.0
21.0,0.1,20.0,-999.0,21.0,8.0,2.0
10.0,0.1,20.0,-999.0,9.0,5.0,2.0
11.0,0.1,21.0,-999.0,9.0,8.0,2.0
15.0,0.1,29.0,-999.0,14.0,8.0,2.0
88.0,0.3,63.0,-999.0,126.0,43.0,4.0
115.0,0.6,79.0,-999.0,136.0,87.0,12.0
130.0,0.7,89.0,-999.0,140.0,99.0,9.0
128.0,0.7,92.0,-999.0,137.0,97.0,9.0
123.0,0.7,89.0,-999.0,118.0,93.0,25.0
124.0,0.9,92.0,-999.0,136.0,94.0,53.0
138.0,1.1,91.0,-999.0,140.0,105.0,58.0
139.0,1.1,86.0,-999.0,125.0,106.0,55.0
133.0,0.9,80.0,-999.0,123.0,101.0,66.0
136.0,0.9,80.0,-999.0,115.0,104.0,45.0
128.0,0.8,78.0,-999.0,99.0,97.0,31.0
116.0,0.8,78.0,-999.0,99.0,88.0,28.0
83.0,1.2,79.0,-999.0,71.0,61.0,17.0
65.0,2.1,85.0,-999.0,70.0,47.0,16.0
85.0,2.5,92.0,-999.0,93.0,63.0,18.0
93.0,2.8,97.0,-999.0,116.0,69.0,19.0
76.0,2.3,97.0,-999.0,75.0,56.0,15.0
68.0,1.7,91.0,-999.0,84.0,49.0,10.0
83.0,1.6,98.0,-999.0,69.0,61.0,11.0
93.0,1.6,103.0,-999.0,69.0,65.0,15.0
78.0,1.6,112.0,-999.0,81.0,57.0,15.0
69.0,1.6,98.0,-999.0,81.0,61.0,14.0
128.0,1.6,119.0,-999.0,160.0,93.0,27.0
135.0,1.6,117.0,-999.0,140.0,110.0,21.0
128.0,1.6,109.0,-999.0,130.0,99.0,22.0
131.0,1.6,109.0,-999.0,123.0,104.0,34.0
140.0,1.6,111.0,-999.0,150.0,114.0,24.0
125.0,1.6,104.0,-999.0,150.0,96.0,18.0
45.0,1.6,81.0,-999.0,44.0,42.0,13.0
39.0,1.6,79.0,-999.0,44.0,27.0,3.0
38.0,-999.0,67.0,108.0,24.0,24.0,13.0
34.0,-999.0,60.0,108.0,24.0,20.0,12.0
20.0,-999.0,27.0,108.0,22.0,19.0,1.0
22.0,-999.0,23.0,108.0,22.0,15.0,1.0
26.0,-999.0,33.0,108.0,22.0,29.0,6.0
34.0,-999.0,62.0,108.0,22.0,26.0,9.0
26.0,-999.0,64.0,108.0,30.0,27.0,12.0
39.0,-999.0,62.0,108.0,25.0,25.0,9.0
40.0,-999.0,75.0,108.0,41.0,25.0,1.0
44.0,-999.0,65.0,108.0,36.0,30.0,9.0
34.0,-999.0,35.0,108.0,34.0,25.0,9.0
36.0,-999.0,37.0,108.0,44.0,26.0,1.0
62.0,-999.0,39.0,108.0,73.0,36.0,12.0
106.0,-999.0,74.0,108.0,115.0,81.0,23.0
109.0,-999.0,79.0,108.0,103.0,93.0,32.0
113.0,-999.0,76.0,108.0,109.0,85.0,31.0
112.0,-999.0,70.0,60.0,147.0,95.0,21.0
130.0,-999.0,92.0,30.0,114.0,103.0,24.0
130.0,-999.0,92.0,30.0,114.0,103.0,24.0
187.0,-999.0,107.0,18.0,170.0,133.0,25.0
203.0,-999.0,116.0,7.0,173.0,153.0,23.0
96.0,-999.0,58.0,52.0,173.0,74.0,7.0
57.0,-999.0,19.0,98.0,54.0,10.0,6.0
36.0,-999.0,12.0,108.0,28.0,5.0,6.0
32.0,-999.0,15.0,105.0,16.0,7.0,1.0
37.0,-999.0,15.0,112.0,16.0,11.0,6.0
23.0,-999.0,24.0,81.0,15.0,11.0,12.0
36.0,-999.0,27.0,93.0,15.0,16.0,1.0
32.0,-999.0,25.0,93.0,15.0,4.0,6.0
23.0,-999.0,34.0,88.0,15.0,12.0,6.0
25.0,-999.0,38.0,73.0,16.0,3.0,1.0
21.0,-999.0,33.0,74.0,21.0,16.0,6.0
18.0,-999.0,44.0,60.0,26.0,8.0,1.0
33.0,-999.0,50.0,51.0,36.0,23.0,9.0
34.0,-999.0,42.0,74.0,28.0,23.0,9.0
28.0,-999.0,30.0,88.0,20.0,18.0,6.0
33.0,-999.0,29.0,104.0,22.0,8.0,12.0
41.0,-999.0,18.0,106.0,24.0,11.0,1.0
41.0,-999.0,18.0,106.0,24.0,11.0,1.0
38.0,-999.0,26.0,105.0,39.0,5.0,1.0
37.0,-999.0,25.0,96.0,23.0,6.0,12.0
37.0,-999.0,27.0,93.0,12.0,12.0,2.0
23.0,-999.0,38.0,80.0,20.0,16.0,8.0
27.0,-999.0,40.0,72.0,23.0,20.0,14.0
30.0,-999.0,42.0,63.0,30.0,17.0,6.0
37.0,-999.0,38.0,66.0,32.0,13.0,15.0
33.0,-999.0,39.0,62.0,33.0,22.0,15.0
29.0,-999.0,44.0,60.0,22.0,16.0,9.0
32.0,-999.0,59.0,41.0,25.0,21.0,14.0
36.0,-999.0,62.0,32.0,33.0,24.0,10.0
35.0,-999.0,66.0,18.0,32.0,17.0,15.0
32.0,-999.0,53.0,30.0,15.0,8.0,18.0
28.0,-999.0,57.0,35.0,14.0,16.0,20.0
29.0,-999.0,47.0,43.0,23.0,19.0,13.0
16.0,-999.0,44.0,54.0,9.0,7.0,4.0
31.0,-999.0,60.0,24.0,19.0,16.0,5.0
39.0,-999.0,63.0,12.0,20.0,14.0,9.0
47.0,-999.0,61.0,24.0,50.0,26.0,19.0
